solver,time (seconds),memory_usage (MB),peak_memory_usage (MB),status,num_vars,num_clauses,satisfied_clauses,satisfaction_ratio,solved,time_budget,threads_used,cnf_file,satisfied_clauses_mean,satisfied_clauses_stdev,time (seconds)__median,time (seconds)__stdev,memory_usage (MB)__median,memory_usage (MB)__stdev,peak_memory_usage (MB)__median,peak_memory_usage (MB)__stdev,satisfaction_ratio__median,satisfaction_ratio__stdev,repetitions
CP-SAT-MAXSAT,1.0783655251958408,249.88125,502.48125,UNKNOWN,1155,42917,41648,0.9172355942866464,False,1.0,4,vlsat2_1155_42917_4.cnf,39365.0,4486.564108535617,1.0782612089824395,0.0004410062480287,249.078125,1.926620158301838,502.96875,3.962461183760984,0.9704312976209892,0.1045404876514113,5
Gurobi-MAXSAT,1.0112442833953537,391.921875,635.290625,FEASIBLE,1155,42917,42879,0.9991145699839225,False,1.0,4,vlsat2_1155_42917_4.cnf,42879.0,0.0,1.0105574170011096,0.0017956900166892,368.53125,32.40763429721749,618.125,25.822099739582324,0.9991145699839225,0.0,5
CP-SAT-MAXSAT,13.20948461680091,3640.703125,6084.65625,UNKNOWN,11664,5532624,3575199,0.7511585099583851,False,1.0,4,vlsat2_11664_5532624.cnf,4155877.6,969796.2185455768,12.858890917006647,1.002380352243721,3679.875,212.98982751759897,6258.03125,678.0218063943734,0.6462031397759905,0.1752868473522829,5
Gurobi-MAXSAT,2.229661341389874,3502.0875,5533.671875,FEASIBLE,11664,5532624,5531652,0.9998243148278284,False,1.0,4,vlsat2_11664_5532624.cnf,5531652.0,0.0,2.2119856659846846,0.0818353942338751,3366.90625,733.7959297406236,5474.265625,205.04484878837712,0.9998243148278284,0.0,5
CP-SAT-MAXSAT,1.0105233167938423,158.625,438.975,UNKNOWN,1183,26975,21177,0.750294717330862,False,1.0,4,vlsat2_1183_26975_3.cnf,20239.2,5789.858089798056,1.0105058749904856,0.0007802621266399,153.890625,10.08083781317927,434.359375,9.56755763921428,0.7850602409638554,0.2146379273326434,5
Gurobi-MAXSAT,1.0063761331955905,279.6,523.928125,FEASIBLE,1183,26975,26971,0.9998517145505096,False,1.0,4,vlsat2_1183_26975_3.cnf,26971.0,0.0,1.0061077919963282,0.0005128985069918,269.15625,26.824165221750143,515.328125,26.2986820717491,0.9998517145505096,0.0,5
CP-SAT-MAXSAT,1.0231796249980107,303.115625,632.325,FEASIBLE,1209,29889,15753,0.527050085315668,False,1.0,4,vlsat2_1209_29889_3.cnf,15753.0,0.0,1.0235544579918496,0.0018859967476545,305.28125,21.623548090710045,626.703125,12.957597802845733,0.527050085315668,0.0,5
Gurobi-MAXSAT,1.0070617000048514,268.796875,523.040625,FEASIBLE,1209,29889,29878,0.9996319716283584,False,1.0,4,vlsat2_1209_29889_3.cnf,29878.0,0.0,1.0068921250058338,0.0006649644398905,267.109375,7.540863612573662,521.78125,7.0849908063851785,0.9996319716283584,0.0,5
CP-SAT-MAXSAT,2.3011966500023844,2510.228125,3362.809375,UNKNOWN,12690,1481522,888321,0.6337797211246272,False,1.0,4,vlsat2_12690_1481522.cnf,938958.6,376455.2386742679,2.299163874995429,0.0222066595793798,2510.328125,2.8005954654211487,3363.0,2.9780774524011293,0.5996002759324532,0.2541003364609286,5
Gurobi-MAXSAT,1.3022431084071286,1722.021875,2273.21875,FEASIBLE,12690,1481522,1481252,0.9998177549844012,False,1.0,4,vlsat2_12690_1481522.cnf,1481252.0,0.0,1.3047580830170773,0.0065006360033697,1721.171875,2.39523146878595,2271.59375,2.764852469787041,0.9998177549844012,0.0,5
CP-SAT-MAXSAT,1.0671766916057095,204.1625,465.296875,UNKNOWN,1326,35956,35325,0.8440204694626766,False,1.0,4,vlsat2_1326_35956_3.cnf,30347.6,8127.938563990257,1.0679345410317185,0.0020120700079062,216.625,17.337641801646136,465.734375,2.2245742219018,0.9824507731672044,0.2260523574365963,5
Gurobi-MAXSAT,1.009383725002408,346.11875,595.115625,FEASIBLE,1326,35956,35948,0.9997775058404716,False,1.0,4,vlsat2_1326_35956_3.cnf,35948.0,0.0,1.0090238330303691,0.0013601537137405,341.140625,20.92434463112734,593.515625,16.581131177721637,0.9997775058404716,0.0,5
CP-SAT-MAXSAT,0.6577339000068605,192.578125,444.465625,UNKNOWN,1352,42432,34875,0.7784125188536953,False,1.0,4,vlsat2_1352_42432_3.cnf,33029.6,12805.95144063884,0.6565583749907091,0.002338348810075,193.09375,2.96694023785448,445.046875,5.138789090857155,0.8219032805429864,0.3017993834992185,5
Gurobi-MAXSAT,1.018656033393927,385.415625,636.915625,FEASIBLE,1352,42432,42422,0.9997643288084463,False,1.0,4,vlsat2_1352_42432_3.cnf,42422.0,0.0,1.0203380419989116,0.0035926701611723,383.421875,7.1447317922237294,637.515625,5.995314739705081,0.9997643288084463,0.0,5
CP-SAT-MAXSAT,2.136527891596779,2277.234375,3073.625,UNKNOWN,14016,1374747,768399,0.6253747053094133,False,1.0,4,vlsat2_14016_1374747.cnf,859732.0,219024.090803957,2.137910582998302,0.0231535529433448,2280.09375,5.4393854489730735,3074.0,2.131968124981586,0.5589384810441484,0.1593195626569521,5
Gurobi-MAXSAT,1.287886266596615,1595.91875,2161.0875,FEASIBLE,14016,1374747,1374528,0.9998406979611522,False,1.0,4,vlsat2_14016_1374747.cnf,1374528.0,0.0,1.2872034999891184,0.001742911668423,1595.734375,0.7285674621303095,2160.765625,0.9766937411811852,0.9998406979611522,0.0,5
