solver,num_vars,num_clauses,cnf_file,satisfaction_ratio,time (seconds),memory_usage (MB),peak_memory_usage (MB)
CP-SAT-MAXSAT,30195,3855554,vlsat2_30195_3855554.cnf,0.6658677326267509,6.945024342020043,5534.2125,6894.38125
MaxSatdNN,30195,3855554,vlsat2_30195_3855554.cnf,0.9004994353600028,1.6883836000110022,2416.915625,3395.184375
Gurobi-MAXSAT,30195,3855554,vlsat2_30195_3855554.cnf,0.9998576080117152,1.8812516583944672,3694.51875,4757.48125
CP-SAT-MAXSAT,30744,3925645,vlsat2_30744_3925645.cnf,0.5954179758995019,6.951450258202385,5351.93125,6718.3125
Gurobi-MAXSAT,30744,3925645,vlsat2_30744_3925645.cnf,0.999860150370194,1.9172935170005077,3775.015625,4832.909375
MaxSatdNN,30744,3925645,vlsat2_30744_3925645.cnf,0.9006234644243175,1.7114212248008698,2462.975,3454.509375
CP-SAT-MAXSAT,32480,4362044,vlsat2_32480_4362044.cnf,0.721680845035034,8.185010049981065,3975.26875,6491.528125
Gurobi-MAXSAT,32480,4362044,vlsat2_32480_4362044.cnf,0.9998716198185988,2.0180907002068125,3471.78125,4991.125
MaxSatdNN,32480,4362044,vlsat2_32480_4362044.cnf,0.907964935704454,1.883559124788735,2721.76875,3840.690625
MaxSatdNN,34161,4607712,vlsat2_34161_4607712.cnf,0.8868492214791203,1.0762073331861757,2717.74375,4046.209375
Gurobi-MAXSAT,34161,4607712,vlsat2_34161_4607712.cnf,0.9998743411046525,2.163346449995879,3289.971875,5017.95625
CP-SAT-MAXSAT,34161,4607712,vlsat2_34161_4607712.cnf,0.7523807043495774,8.947628774994518,3549.459375,6587.03125
Gurobi-MAXSAT,35929,5082743,vlsat2_35929_5082743.cnf,0.9998841176899952,2.3998125414014795,3141.45625,4858.503125
MaxSatdNN,35929,5082743,vlsat2_35929_5082743.cnf,0.8941676964583887,1.1813969581970014,3054.925,4402.35
CP-SAT-MAXSAT,35929,5082743,vlsat2_35929_5082743.cnf,0.7578870700328543,9.957345666794572,3647.4625,6592.421875
MaxSatdNN,37758,5364539,vlsat2_37758_5364539.cnf,0.8884250072559823,1.2938406666042284,3167.3,4599.91875
CP-SAT-MAXSAT,37758,5364539,vlsat2_37758_5364539.cnf,0.7605671242207391,10.83615719160298,3864.33125,6540.00625
Gurobi-MAXSAT,37758,5364539,vlsat2_37758_5364539.cnf,0.9998864767317378,2.460131341405213,3050.61875,4917.628125
MaxSatdNN,39552,5878762,vlsat2_39552_5878762.cnf,0.894986801642931,1.379518041794654,3434.50625,4990.959375
Gurobi-MAXSAT,39552,5878762,vlsat2_39552_5878762.cnf,0.9998948758258966,2.390091058227699,3354.6875,5408.3875
CP-SAT-MAXSAT,39552,5878762,vlsat2_39552_5878762.cnf,0.644975149529782,12.483539716585074,3923.8875,6771.54375
MaxSatdNN,40170,5970608,vlsat2_40170_5970608.cnf,0.8952732787012646,1.42791408339981,3389.3375,5088.98125
CP-SAT-MAXSAT,40170,5970608,vlsat2_40170_5970608.cnf,0.8498548891503177,12.84481741678901,3913.353125,6900.45625
Gurobi-MAXSAT,40170,5970608,vlsat2_40170_5970608.cnf,0.9998964929534816,2.3298302664072255,3111.821875,5401.2375
CP-SAT-MAXSAT,57038,10572502,vlsat2_57038_10572502.cnf,0.8165247355829302,31.279433249996508,5279.04375,9874.503125
Gurobi-MAXSAT,57038,10572502,vlsat2_57038_10572502.cnf,0.9999317096369432,4.025538233190309,5445.2625,9345.0125
MaxSatdNN,57038,10572502,vlsat2_57038_10572502.cnf,0.9377724969926704,2.86306731661316,3375.3,6703.30625
MaxSatdNN,70288,14170788,vlsat2_70288_14170788.cnf,0.8982792770592574,4.117126533400733,2208.896875,5972.928125
CP-SAT-MAXSAT,70288,14170788,vlsat2_70288_14170788.cnf,0.7400895984048311,53.64787769179093,5516.2875,10318.103125
Gurobi-MAXSAT,70288,14170788,vlsat2_70288_14170788.cnf,0.99994608627269,5.737697941390797,6669.3125,11511.884375
